"name","country_serving","age_at_conclave","position","predicted_prob"
"Odilo Scherer","Brazil",75.6,"Archbishop of São Paulo",0.154801095257291
"Robert Francis Prevost ","United States",69.6,"Prefect of the Dicastery for Bishops[c]",0.0849741451054445
"Louis Raphaël I Sako","Iraq",76.8,"Patriarch of Baghdad
(Chaldean Church)",0.0784226545779522
"Vinko Puljić","Bosnia and Herzegovina",79.6,"Archbishop emeritus of Vrhbosna",0.0130661494646925
"Fernando Filoni","Italy",79,"Grand Master of the Order of the Holy Sepulchre",0.0112986884317131
"Péter Erdő","Hungary",72.8,"Archbishop of Esztergom–Budapest",0.00746178799718964
"Philippe Barbarin","France",74.5,"Archbishop emeritus of Lyon",0.00563959827310806
"Josip Bozanić","Croatia",76.1,"Archbishop emeritus of Zagreb",0.00457694089869429
"Antonio Cañizares Llovera","Spain",79.5,"Archbishop emeritus of Valencia",0.00405232868782142
"Francisco Robles Ortega","Mexico",76.1,"Archbishop of Guadalajara",0.00343513081973233
"Soane Patita Paini Mafi","Tonga",63.3,"Bishop of Tonga",0.00224930198923634
"Raymond Leo Burke","United States",76.8,"Patron emeritus of the Sovereign Military Order of Malta",0.00173297125248474
"João Braz de Aviz","Brazil",78,"Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life",0.00167074636886509
"Virgílio do Carmo da Silva ","East Timor",57.4,"Archbishop of Díli",0.00138459555612054
"Daniel DiNardo","United States",75.9,"Archbishop emeritus of Galveston–Houston",0.00111769067645702
"Reinhard Marx","Germany",71.6,"Archbishop of Munich and Freising and Coordinator of the Council for the Economy[c]",0.000989757410912668
"Stanisław Ryłko","Poland",79.8,"Archpriest of the Papal Basilica of Saint Mary Major",0.000831792001913246
"Baselios Cleemis","India",65.9,"Major Archbishop of Trivandrum
(Syro-Malankara Church)",0.000829551674064541
"Kurt Koch","Switzerland",75.1,"Prefect of the Dicastery for Promoting Christian Unity[c]",0.000756177856627929
"Rainer Woelki","Germany",68.7,"Archbishop of Cologne",0.00063644227623497
"Dieudonné Nzapalainga ","Central African Republic",58.1,"Archbishop of Bangui",0.000578784913191217
"Timothy M. Dolan","United States",75.2,"Archbishop of New York",0.000568405566236777
"Kazimierz Nycz","Poland",75.2,"Archbishop emeritus of Warsaw",0.000541837462627228
"John Njue","Kenya",79.3,"Archbishop emeritus of Nairobi",0.000516327875117033
"Wim Eijk","Netherlands",71.8,"Archbishop of Utrecht",0.00042430619111665
"Gérald Lacroix ","Canada",67.7,"Archbishop of Quebec",0.000403972304409763
