conclave_date,pope_name,rank,name,name_words,country_serving,born,years_above_80,years_below_80,age,years_served_as_cardinal,cardinal_type,date_created,creator_pope,position,votes_received_in_prev_conclave,ap_choice,newsweek_choice,betting_market,first_language
21-Apr-2025,NA,1,Giovanni Battista Re,3,Italy,30-Jan-1934,11.2,0.0,91.2,24.1615,CB,21-Feb-2001,John Paul II,Prefect emeritus of the Congregation for Bishops,0,0,0,0.0526,Italian
21-Apr-2025,NA,2,Leonardo Sandri,2,Argentina,18-Nov-1943,1.4,0.0,81.4,17.4073,CB,24-Nov-2007,Benedict XVI,Prefect emeritus of the Dicastery for the Eastern Churches,0,0,0,0,Spanish
21-Apr-2025,NA,3,Francis Arinze,2,Nigeria,1-Nov-1932,12.5,0.0,92.5,39.9069,CB,25-May-1985,John Paul II,Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,0,0,0,0,Igbo
21-Apr-2025,NA,4,Tarcisio Bertone ,2,Italy,2-Dec-1934,10.4,0.0,90.4,21.5003,CB,21-Oct-2003,John Paul II,Secretary of State emeritus of His Holiness and Camerlengo emeritus of the Holy Roman Church,0,0,0,0,Italian
21-Apr-2025,NA,5,José Saraiva Martins ,3,Portugal,6-Jan-1932,13.3,0.0,93.3,24.1615,CB,21-Feb-2001,John Paul II,Prefect emeritus of the Congregation for the Causes of Saints,0,0,0,0,Portuguese
21-Apr-2025,NA,6,Pietro Parolin,2,Italy,17-Jan-1955,0.0,9.7,70.3,11.1595,CB,22-Feb-2014,Francis,Secretary of State of His Holiness[c],0,1,1,0.2326,Italian
21-Apr-2025,NA,7,Marc Ouellet ,2,Canada,8-Jun-1944,0.9,0.0,80.9,21.5003,CB,21-Oct-2003,John Paul II,Prefect emeritus of the Dicastery for Bishops,22,0,0,0,French
21-Apr-2025,NA,8,Fernando Filoni,2,Italy,15-Apr-1946,0.0,1.0,79.0,13.1718,CB,18-Feb-2012,Benedict XVI,Grand Master of the Order of the Holy Sepulchre,0,0,0,0,Italian
21-Apr-2025,NA,9,Beniamino Stella,2,Italy,18-Aug-1941,3.7,0.0,83.7,11.1595,CB,22-Feb-2014,Francis,Prefect emeritus of the Congregation for the Clergy,0,0,0,0,Italian
21-Apr-2025,NA,10,Luis Antonio Tagle,3,Philippines,21-Jun-1957,0.0,12.2,67.8,12.4052,CB,24-Nov-2012,Benedict XVI,Pro-Prefect of the Dicastery for Evangelization[c],0,1,1,0.1852,Tagalog
