conclave_date,pope_name,rank,name,name_words,country_serving,born,age_at_conclave,years_served_as_cardinal,cardinal_type,date_created,creator_pope,position,votes_received_in_prev_conclave,newsweek_choice,betting_market,first_language,elected
29-May-1724,Benedict XIII,1,Pierfrancesco Orsini,2,Italy,2-Feb-1649,75.3155,52.2628,CB,22-Feb-1672,Clement X,Archbishop of Benevento,0,0,0,Italian,yes
12-Jul-1730,Clement XII,1,Lorenzo Corsini,2,Italy,7-Apr-1652,78.2587,24.1533,CB,17-May-1706,Clement XI,Archbishop of Nicomedia,0,0,0,Italian,yes
17-Aug-1740,Benedict XIV,23,Prospero Lorenzo Lambertini,3,Italy,31-Mar-1675,65.3799,12.2984,CP,30-Apr-1728,Benedict XIII,Archbishop of Ancona e Numana,0,0,0,Italian,yes
6-Jul-1758,Clement XIII,25,Carlo della Torre di Rezzonico ,5,Italy,7-Mar-1693,65.3279,20.5421,CP,20-Dec-1737,Clement XII,Bishop of Padua,0,0,0,Italian,yes
19-May-1769,Clement XIV,50,Giovanni Vincenzo Antonio Ganganelli,4,Italy,31-Oct-1705,63.5483,9.6509,CP,24-Sep-1759,Clement XIII,NA,0,0,0,Italian,yes
15-Feb-1775,Pius VI,35,Giovanni Angelo Onofrio Melchiorre Natale Antonio Braschi,7,Italy,25-Dec-1717,57.1417,1.8070,CP,26-Apr-1773,Clement XIV,General Treasurer of the Apostolic Camera,0,0,0,Italian,yes
14-Mar-1800,Pius VII,50,Barnaba Niccolò Maria Luigi Chiaramonti,5,Italy,14-Aug-1742,57.5797,15.0746,CP,14-Feb-1785,Pius VI,Abbot of San Paolo fuori le Mura,0,0,0,Italian,yes
28-Sep-1823,Leo XII,8,Annibale Francesco Clemente Melchiorre Girolamo Nicola della Genga,8,Italy,22-Aug-1760,63.0965,7.5565,CP,8-Mar-1816,Pius VII,Archbishop of Senigallia,0,0,0,Italian,yes
31-Mar-1829,Pius VIII,9,Francesco Saverio Maria Felice Castiglioni,5,Italy,20-Nov-1761,67.3566,13.0623,CP,8-Mar-1816,Pius VII,Prefect of the Congregation of the Index,0,0,0,Italian,yes
2-Feb-1831,Gregory XVI,45,Bartolomeo Alberto Cappellari,3,Italy,18-Sep-1765,65.3717,5.8700,CP,21-Mar-1825,Leo XII,Prefect of the Congregation for Propagation of the Faith,0,0,0,Italian,yes
16-Jun-1846,Pius IX,45,Giovanni Maria Battista Pietro Pellegrino Isidoro Mastai-Ferretti,7,Italy,13-May-1792,54.0890,5.5031,CP,14-Dec-1840,Gregory XVI,Archbishop of Spoleto,0,0,0,Italian,yes
20-Feb-1878,Leo XIII,5,Gioacchino Vincenzo Raffaele Luigi Pecci,5,Italy,2-Mar-1810,67.9726,24.1725,CP,19-Dec-1853,Pius IX,Archbishop-Bishop of Perugia ,0,0,0,Italian,yes
4-Aug-1903,Pius X,27,Giuseppe Melchiorre Sarto,3,Italy,2-Jun-1835,68.1697,10.1410,CP,12-Jun-1893,Leo XIII,Patriarch of Venice,0,0,0,Italian,yes
